product,support,productp,manual,winsetup,macsetup,btwinsetup,btmacsetup,lwwinsetup,lwmacsetup,usbwinsetup,usbmacsetup,wps,nowps,lederrors,staticip,autoconnect,resetnetwork,resetbt,resetbtnetwork,density,firmware,cut,opos,holdprint,emulation,btmode,margins,sqsu,sdk,maintenance,missingdots,dhcp,cloudprnt,webprnt,cloudprntdemo,wifidongle,pairios,resetpinwin
BSC10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSC10E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSC10E BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSC10EEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSC10EUK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSC10IIUEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSC10IIUY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSC10U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSC10UC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSC10UCMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSC10UD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSC10UDALF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSC10UDMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSC10UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSD-40U,https://starmicronics.com/support/products/bsd-bsh-scanners-support-page/,https://starmicronics.com/product/bsd-40u-desktop-usb-1d-2d-barcode-scanner/,https://starmicronics.com/help-center/knowledge-base/barcode-scanners-setup-guide/#articleTOC_24,,,,,,,,,,,,,,,,,,,,,,,,,https://starmicronics.com/help-center/knowledge-base/how-to-test-star-products-using-the-star-quick-setup-utility-app/#articleTOC_4,,,,,,,,,,
BSH-20B,https://starmicronics.com/support/products/bsd-bsh-scanners-support-page/,https://starmicronics.com/product/wireless-bluetooth-2d-barcode-scanner/,https://starmicronics.com/help-center/knowledge-base/star-micronics-scanners-setup-guide/#articleTOC_10,,,,,,,,,,,,,,,,,,,,,,,,,https://starmicronics.com/help-center/knowledge-base/how-to-test-star-products-using-the-star-quick-setup-utility-app/#articleTOC_4,,,,,,,,,,
BSH-20U,https://starmicronics.com/support/products/bsd-bsh-scanners-support-page/,https://starmicronics.com/product/bsh-20u-handheld-wired-usb-1d-2d-barcode-scanner/,https://starmicronics.com/help-center/knowledge-base/star-micronics-scanners-setup-guide/#articleTOC_20,,,,,,,,,,,,,,,,,,,,,,,,,https://starmicronics.com/help-center/knowledge-base/how-to-test-star-products-using-the-star-quick-setup-utility-app/#articleTOC_4,,,,,,,,,,
BSH-32B,https://starmicronics.com/support/products/bsd-bsh-scanners-support-page/,https://starmicronics.com/product/bsh-32b-wireless-1d-2d-bluetooth-barcode-scanner/,https://starmicronics.com/help-center/knowledge-base/star-micronics-scanners-setup-guide/#articleTOC_30,,,,,,,,,,,,,,,,,,,,,,,,,https://starmicronics.com/help-center/knowledge-base/how-to-test-star-products-using-the-star-quick-setup-utility-app/#articleTOC_4,,,,,,,,,,
BSH-32U,https://starmicronics.com/support/products/bsd-bsh-scanners-support-page/,https://starmicronics.com/product/bsh-32u-handheld-1d-2d-usb-barcode-scanner/,https://starmicronics.com/help-center/knowledge-base/star-micronics-scanners-setup-guide/#articleTOC_40,,,,,,,,,,,,,,,,,,,,,,,,,https://starmicronics.com/help-center/knowledge-base/how-to-test-star-products-using-the-star-quick-setup-utility-app/#articleTOC_4,,,,,,,,,,
CD3-1313BK45-S2,,https://starmicronics.com/product/value-cash-drawer-cd3/,,https://starmicronics.com/help-center/knowledge-base/how-to-enable-a-cash-drawer-on-windows/,https://starmicronics.com/help-center/knowledge-base/how-to-enable-a-cash-drawer-on-macos/,,,,,,,,,,,,,,,,,,https://starmicronics.com/help-center/knowledge-base/how-to-install-opos-or-javapos-on-tsp100-series-on-windows-os/#articleTOC_0,,,,,https://starmicronics.com/help-center/knowledge-base/how-to-test-star-products-using-the-star-quick-setup-utility-app/,,,,,,,,,,
CD3-1313WT45-S2,,https://starmicronics.com/product/value-cash-drawer-cd3/,,https://starmicronics.com/help-center/knowledge-base/how-to-enable-a-cash-drawer-on-windows/,https://starmicronics.com/help-center/knowledge-base/how-to-enable-a-cash-drawer-on-macos/,,,,,,,,,,,,,,,,,,https://starmicronics.com/help-center/knowledge-base/how-to-install-opos-or-javapos-on-tsp100-series-on-windows-os/#articleTOC_0,,,,,https://starmicronics.com/help-center/knowledge-base/how-to-test-star-products-using-the-star-quick-setup-utility-app/,,,,,,,,,,
CD3-1616BK55-S2,,https://starmicronics.com/product/value-cash-drawer-cd3/,,https://starmicronics.com/help-center/knowledge-base/how-to-enable-a-cash-drawer-on-windows/,https://starmicronics.com/help-center/knowledge-base/how-to-enable-a-cash-drawer-on-macos/,,,,,,,,,,,,,,,,,,https://starmicronics.com/help-center/knowledge-base/how-to-install-opos-or-javapos-on-tsp100-series-on-windows-os/#articleTOC_0,,,,,https://starmicronics.com/help-center/knowledge-base/how-to-test-star-products-using-the-star-quick-setup-utility-app/,,,,,,,,,,
CD3-1616BK58-S2 I,,https://starmicronics.com/product/value-cash-drawer-cd3/,,https://starmicronics.com/help-center/knowledge-base/how-to-enable-a-cash-drawer-on-windows/,https://starmicronics.com/help-center/knowledge-base/how-to-enable-a-cash-drawer-on-macos/,,,,,,,,,,,,,,,,,,https://starmicronics.com/help-center/knowledge-base/how-to-install-opos-or-javapos-on-tsp100-series-on-windows-os/#articleTOC_0,,,,,https://starmicronics.com/help-center/knowledge-base/how-to-test-star-products-using-the-star-quick-setup-utility-app/,,,,,,,,,,
CD3-1616BK58-S2-12V,,https://starmicronics.com/product/value-cash-drawer-cd3/,,https://starmicronics.com/help-center/knowledge-base/how-to-enable-a-cash-drawer-on-windows/,https://starmicronics.com/help-center/knowledge-base/how-to-enable-a-cash-drawer-on-macos/,,,,,,,,,,,,,,,,,,https://starmicronics.com/help-center/knowledge-base/how-to-install-opos-or-javapos-on-tsp100-series-on-windows-os/#articleTOC_0,,,,,https://starmicronics.com/help-center/knowledge-base/how-to-test-star-products-using-the-star-quick-setup-utility-app/,,,,,,,,,,
CD3-1616WT58-S2,,https://starmicronics.com/product/value-cash-drawer-cd3/,,https://starmicronics.com/help-center/knowledge-base/how-to-enable-a-cash-drawer-on-windows/,https://starmicronics.com/help-center/knowledge-base/how-to-enable-a-cash-drawer-on-macos/,,,,,,,,,,,,,,,,,,https://starmicronics.com/help-center/knowledge-base/how-to-install-opos-or-javapos-on-tsp100-series-on-windows-os/#articleTOC_0,,,,,https://starmicronics.com/help-center/knowledge-base/how-to-test-star-products-using-the-star-quick-setup-utility-app/,,,,,,,,,,
CD4-1416WTSS45,,https://starmicronics.com/product/choice-cash-drawer-cd4/,,https://starmicronics.com/help-center/knowledge-base/how-to-enable-a-cash-drawer-on-windows/,https://starmicronics.com/help-center/knowledge-base/how-to-enable-a-cash-drawer-on-macos/,,,,,,,,,,,,,,,,,,https://starmicronics.com/help-center/knowledge-base/how-to-install-opos-or-javapos-on-tsp100-series-on-windows-os/#articleTOC_0,,,,,https://starmicronics.com/help-center/knowledge-base/how-to-test-star-products-using-the-star-quick-setup-utility-app/,,,,,,,,,,
