SerialNumber,ProductName,Product,RepClass,Product Class,INTERFACE
2100,DP8340FM  US,DP8340FM,DP8340(x),IMPACT,No Interface
2101,DP8340SM  US,DP8340SM,DP8340(x),IMPACT,No Interface
2102,DP8340FC  US,DP8340FC,DP8340(x),IMPACT,Parallel
2103,DP8340SC  US,DP8340SC,DP8340(x),IMPACT,Parallel
2104,DP8340RM  US,DP8340RM,DP8340(x),IMPACT,No Interface
2105,DP8340RC  US,DP8340RC,DP8340(x),IMPACT,Parallel
2106,DP8340,DP8340,DP8340(x),IMPACT,No Interface
2107,DP8340,DP8340,DP8340(x),IMPACT,No Interface
2108,DP8340,DP8340,DP8340(x),IMPACT,No Interface
2109,DP8340,DP8340,DP8340(x),IMPACT,No Interface
2110,DP8340FM  US,DP8340FM,DP8340(x),IMPACT,No Interface
2111,NLA PDN DP8340SM W/O PWR,P8340(x),DP8340(x),IMPACT,No Interface
2112,NLA PDN DP8340FC W/O PWR,P8340(x),DP8340(x),IMPACT,Parallel
2113,NLA PDN DP8340SC W/O PWR,P8340(x),DP8340(x),IMPACT,Parallel
2114,NLA PDN DP8340RM W/O PWR,P8340(x),DP8340(x),IMPACT,No Interface
2115,NLA PDN DP8340RC W/O PWR,P8340(x),DP8340(x),IMPACT,Parallel
2116,DP8340FD  US,DP8340FD,DP8340(x),IMPACT,Serial
2117,DP8340SD  US,DP8340SD,DP8340(x),IMPACT,Serial
2118,DP8340RD  US,DP8340RD,DP8340(x),IMPACT,Serial
2119,DP8340,DP8340,DP8340(x),IMPACT,No Interface
2120,DP8340FD  EC,DP8340FD,DP8340(x),IMPACT,Serial
2121,DP8340SD  EC,DP8340SD,DP8340(x),IMPACT,Serial
2122,DP8340FC  EC,DP8340FC,DP8340(x),IMPACT,Parallel
2123,DP8340SC  EC,DP8340SC,DP8340(x),IMPACT,Parallel
2124,DP8340SD48  EC,DP8340SD48,DP8340(x),IMPACT,Serial
2125,DP8340FD  EU,DP8340FD,DP8340(x),IMPACT,Serial
2126,DP8340SD  EU,DP8340SD,DP8340(x),IMPACT,Serial
2127,DP8340FC  EU,DP8340FC,DP8340(x),IMPACT,Parallel
2128,DP8340SC  EU,DP8340SC,DP8340(x),IMPACT,Parallel
2129,DP8340,DP8340,DP8340(x),IMPACT,No Interface
2130,DP8340,DP8340,DP8340(x),IMPACT,No Interface
2131,DP8340,DP8340,DP8340(x),IMPACT,No Interface
2132,DP8340FC  UK,DP8340FC,DP8340(x),IMPACT,Parallel
2133,DP8340SC  UK,DP8340SC,DP8340(x),IMPACT,Parallel
2134,DP8340,DP8340,DP8340(x),IMPACT,No Interface
2135,DP8340,DP8340,DP8340(x),IMPACT,No Interface
2136,DP8340,DP8340,DP8340(x),IMPACT,No Interface
2137,DP8340,DP8340,DP8340(x),IMPACT,No Interface
2138,DP8340,DP8340,DP8340(x),IMPACT,No Interface
2139,DP8340,DP8340,DP8340(x),IMPACT,No Interface
2140,DP8340,DP8340,DP8340(x),IMPACT,No Interface
2141,DP8340,DP8340,DP8340(x),IMPACT,No Interface
2142,DP8340,DP8340,DP8340(x),IMPACT,No Interface
2143,DP8340,DP8340,DP8340(x),IMPACT,No Interface
2144,DP8340,DP8340,DP8340(x),IMPACT,No Interface
2145,DP8340,DP8340,DP8340(x),IMPACT,No Interface
2146,DP8340,DP8340,DP8340(x),IMPACT,No Interface
2147,DP8340,DP8340,DP8340(x),IMPACT,No Interface
2148,DP8340,DP8340,DP8340(x),IMPACT,No Interface
2149,DP8340,DP8340,DP8340(x),IMPACT,No Interface
2150,DP8340,DP8340,DP8340(x),IMPACT,No Interface
2151,DP8340,DP8340,DP8340(x),IMPACT,No Interface
2152,DP8340,DP8340,DP8340(x),IMPACT,No Interface
2153,DP8340,DP8340,DP8340(x),IMPACT,No Interface
2154,DP8340,DP8340,DP8340(x),IMPACT,No Interface
2155,DP8340,DP8340,DP8340(x),IMPACT,No Interface
2156,DP8340,DP8340,DP8340(x),IMPACT,No Interface
2157,DP8340,DP8340,DP8340(x),IMPACT,No Interface
2158,DP8340,DP8340,DP8340(x),IMPACT,No Interface
2159,DP8340,DP8340,DP8340(x),IMPACT,No Interface
2160,DP8340FD  JP,DP8340FD,DP8340(x),IMPACT,Serial
2161,DP8340SD  JP,DP8340SD,DP8340(x),IMPACT,Serial
2162,DP8340FC  JP,DP8340FC,DP8340(x),IMPACT,Parallel
2163,DP8340SC  JP,DP8340SC,DP8340(x),IMPACT,Parallel
2164,DP8340FD  JP,DP8340FD,DP8340(x),IMPACT,Serial
2165,DP8340FC  JP,DP8340FC,DP8340(x),IMPACT,Parallel
2166,DP8340,DP8340,DP8340(x),IMPACT,No Interface
2167,DP8340,DP8340,DP8340(x),IMPACT,No Interface
2168,DP8340,DP8340,DP8340(x),IMPACT,No Interface
2169,DP8340,DP8340,DP8340(x),IMPACT,No Interface
2170,DP8340RM  ,DP8340RM,DP8340(x),IMPACT,No Interface
2171,DP8340SC   NTK,DP8340SC,DP8340(x),IMPACT,Parallel
2172,DP8340SD   GSI,DP8340SD,DP8340(x),IMPACT,Serial
2173,DP8340,DP8340,DP8340(x),IMPACT,No Interface
2174,DP8340,DP8340,DP8340(x),IMPACT,No Interface
2175,DP8340,DP8340,DP8340(x),IMPACT,No Interface
2176,DP8340,DP8340,DP8340(x),IMPACT,No Interface
2177,DP8340,DP8340,DP8340(x),IMPACT,No Interface
2178,DP8340,DP8340,DP8340(x),IMPACT,No Interface
2179,DP8340,DP8340,DP8340(x),IMPACT,No Interface
2180,DP8340RC  TW,DP8340RC,DP8340(x),IMPACT,Parallel
2181,DP8340,DP8340,DP8340(x),IMPACT,No Interface
2182,DP8340,DP8340,DP8340(x),IMPACT,No Interface
2183,DP8340,DP8340,DP8340(x),IMPACT,No Interface
2184,DP8340,DP8340,DP8340(x),IMPACT,No Interface
